Name,League,2015 Rank,Number,DOB,Nationality,Field position, Season,Season,Club,MV pounds,MV,City,Latitude,Longitude,Helper column
Aaron Ramsey,Premier League,24,#16,26-Dec-1990,Wales,Midfield - Central Midfield,07/08,1-Jan-2007,Cardiff,-,-,Cardiff,51.481581,-3.17909,3
Aaron Ramsey,Premier League,24,#16,26-Dec-1990,Wales,Midfield - Central Midfield,08/09,1-Jan-2008,Arsenal FC,3.50m,3500000,London,51.507351,-0.127758,39
Aaron Ramsey,Premier League,24,#16,26-Dec-1990,Wales,Midfield - Central Midfield,10/11,1-Jan-2010,Cardiff,4.20m,4200000,Cardiff,51.481581,-3.17909,3
Aaron Ramsey,Premier League,24,#16,26-Dec-1990,Wales,Midfield - Central Midfield,15/16,1-Jan-2015,Arsenal FC,19.60m,19600000,London,51.507351,-0.127758,39
Abdul Rahman Baba,Premier League,88,#6,2-Jul-1994,Ghana,Defence - Left Back,11/12,1-Jan-2011,Dreams FC,105k,105000,,,,1
Abdul Rahman Baba,Premier League,88,#6,2-Jul-1994,Ghana,Defence - Left Back,12/13,1-Jan-2012,Greuther Fürth,105k,105000,Furth,49.477117,10.988667,3
Abdul Rahman Baba,Premier League,88,#6,2-Jul-1994,Ghana,Defence - Left Back,14/15,1-Jan-2014,FC Augsburg,1.05m,1050000,,,,2
Abdul Rahman Baba,Premier League,88,#6,2-Jul-1994,Ghana,Defence - Left Back,15/16,1-Jan-2015,Chelsea FC,7.00m,7000000,London,51.507351,-0.127758,53
Adam Lallana,Premier League,53,#20,10-May-1988,England,Midfield - Attacking Midfield,06/07,1-Jan-2006,Southampton FC,-,-,Southampton,50.9097,-1.404351,19
Adam Lallana,Premier League,53,#20,10-May-1988,England,Midfield - Attacking Midfield,07/08,1-Jan-2007,Bournemouth,35k,35000,Bournemouth,50.719164,-1.880769,1
Adam Lallana,Premier League,53,#20,10-May-1988,England,Midfield - Attacking Midfield,14/15,1-Jan-2014,Liverpool FC,5.25m,5250000,Liverpool,53.408371,-2.991573,33
Adam Lallana,Premier League,53,#20,10-May-1988,England,Midfield - Attacking Midfield,15/16,1-Jan-2015,Liverpool FC,14.00m,14000000,Liverpool,53.408371,-2.991573,33
