Name, League, Rank (for league) in 2015, Number, DOB, Nationality, Field position, Season, Club, MV (in pounds),MV in # form,City,Latitude,Longitude
Cristiano Ronaldo,La Liga,1,#7,5-Feb-85,Portugal,Striker - Left Wing,15/16,Real Madrid,84.00m,84000000,Madrid,40.416775,-3.70379
Lionel Messi,La Liga,2,#10,24-Jun-87,Argentina                                                                                      Spain,Striker - Right Wing,15/16,FC Barcelona,84.00m,84000000,Barcelona,41.385064,2.173403
Gareth Bale,La Liga,3,#11,16-Jul-89,Wales,Striker - Right Wing,15/16,Real Madrid,56.00m,56000000,Madrid,40.416775,-3.70379
James Rodríguez,La Liga,6,#10,12-Jul-91,Colombia,Midfield - Attacking Midfield,15/16,Real Madrid,56.00m,56000000,Madrid,40.416775,-3.70379
Luis Suárez,La Liga,4,#9,24-Jan-87,Uruguay,Striker - Centre Forward,15/16,FC Barcelona,56.00m,56000000,Barcelona,41.385064,2.173403
Neymar,La Liga,5,#11,5-Feb-92,Brazil,Striker - Left Wing,15/16,FC Barcelona,56.00m,56000000,Barcelona,41.385064,2.173403
Thomas Müller,Bundesliga,1,#25,13-Sep-89,Germany,Striker - Secondary Striker,15/16,Bayern Munich,52.50m,52500000,Munich,48.135125,11.581981
Eden Hazard,Premier League,1,#10,7-Jan-91,Belgium,Midfield - Left Wing,15/16,Chelsea FC,49.00m,49000000,London,51.507351,-0.127758
Robert Lewandowski,Bundesliga,2,#9,21-Aug-88,Poland,Striker - Centre Forward,15/16,Bayern Munich,49.00m,49000000,Munich,48.135125,11.581981
Gareth Bale,La Liga,3,#11,16-Jul-89,Wales,Striker - Right Wing,13/14,Real Madrid,45.50m,45500000,Madrid,40.416775,-3.70379
Cristiano Ronaldo,La Liga,1,#7,5-Feb-85,Portugal,Striker - Left Wing,09/10,Real Madrid,42.00m,42000000,Madrid,40.416775,-3.70379
James Rodríguez,La Liga,6,#10,12-Jul-91,Colombia,Midfield - Attacking Midfield,14/15,Real Madrid,42.00m,42000000,Madrid,40.416775,-3.70379
Kevin De Bruyne,Premier League,3,#17,28-Jun-91,Belgium,Midfield - Attacking Midfield,15/16,Manchester City,42.00m,42000000,Manchester,53.480759,53.480759
Sergio Agüero,Premier League,2,#10,2-Jun-88,Argentina                                                                                      Spain,Striker - Centre Forward,15/16,Manchester City,42.00m,42000000,Manchester,53.480759,53.480759
Falcao,Premier League,13,#9,10-Feb-86,Colombia,Striker - Centre Forward,13/14,Monaco,42.00m,42000000,Monaco,43.738418,7.424616
Alexis Sánchez,Premier League,4,#17,19-Dec-88,Chile,Striker - Left Wing,15/16,Arsenal FC,38.50m,38500000,London,51.507351,-0.127758
Falcao,Premier League,13,#9,10-Feb-86,Colombia,Striker - Centre Forward,14/15,Manchester Utd.,38.50m,38500000,Manchester,53.480759,53.480759
Paul Pogba,Serie A,1,#10,15-Mar-93,France                                                                                      Guine,Midfield - Central Midfield,15/16,Juventus FC,38.50m,38500000,Turin,45.070312,7.686856
Cesc Fàbregas,Premier League,5,#4,4-May-87,Spain,Midfield - Central Midfield,11/12,FC Barcelona,37.80m,37800000,Barcelona,41.385064,2.173403
Luis Suárez,La Liga,4,#9,24-Jan-87,Uruguay,Striker - Centre Forward,14/15,FC Barcelona,36.40m,36400000,Barcelona,41.385064,2.173403
Koke,La Liga,10,#6,8-Jan-92,Spain,Midfield - Left Wing,15/16,Atlético Madrid,35.00m,35000000,Madrid,40.416775,-3.70379
Karim Benzema,La Liga,7,#9,19-Dec-87,France                                                                                      Algeria,Striker - Centre Forward,15/16,Real Madrid,35.00m,35000000,Madrid,40.416775,-3.70379
Luka Modric,La Liga,8,#19,9-Sep-85,Croatia,Midfield - Central Midfield,15/16,Real Madrid,35.00m,35000000,Madrid,40.416775,-3.70379
Toni Kroos,La Liga,9,#8,4-Jan-90,Germany,Midfield - Central Midfield,15/16,Real Madrid,35.00m,35000000,Madrid,40.416775,-3.70379
Cesc Fàbregas,Premier League,5,#4,4-May-87,Spain,Midfield - Central Midfield,15/16,Chelsea FC,35.00m,35000000,London,51.507351,-0.127758
Cesc Fàbregas,Premier League,5,#4,4-May-87,Spain,Midfield - Central Midfield,14/15,Chelsea FC,35.00m,35000000,London,51.507351,-0.127758
Diego Costa,Premier League,6,#19,7-Oct-88,Spain                                                                                      Brazil,Striker - Centre Forward,15/16,Chelsea FC,35.00m,35000000,London,51.507351,-0.127758
Fernando Torres,La Liga,99,#9,20-Mar-84,Spain,Striker - Centre Forward,10/11,Chelsea FC,35.00m,35000000,London,51.507351,-0.127758
Robert Lewandowski,Bundesliga,2,#9,21-Aug-88,Poland,Striker - Centre Forward,14/15,Bayern Munich,35.00m,35000000,Munich,48.135125,11.581981
Neymar,La Liga,5,#11,5-Feb-92,Brazil,Striker - Left Wing,13/14,FC Barcelona,35.00m,35000000,Barcelona,41.385064,2.173403
Raheem Sterling,Premier League,7,#7,8-Dec-94,England                                                                                      Jamaica,Midfield - Left Wing,15/16,Manchester City,35.00m,35000000,Manchester,53.480759,53.480759
Antoine Griezmann,La Liga,13,#7,21-Mar-91,France,Striker - Secondary Striker,15/16,Atlético Madrid,31.50m,31500000,Madrid,40.416775,-3.70379
Isco,La Liga,12,#22,21-Apr-92,Spain,Midfield - Attacking Midfield,15/16,Real Madrid,31.50m,31500000,Madrid,40.416775,-3.70379
David Alaba,Bundesliga,5,#27,24-Jun-92,Austria,Defence - Left-Back,15/16,Bayern Munich,31.50m,31500000,Munich,48.135125,11.581981
Manuel Neuer,Bundesliga,3,#1,27-Mar-86,Germany,Goalkeeper,15/16,Bayern Munich,31.50m,31500000,Munich,48.135125,11.581981
Mario Götze,Bundesliga,6,#19,3-Jun-92,Germany,Midfield - Attacking Midfield,15/16,Bayern Munich,31.50m,31500000,Munich,48.135125,11.581981
Mario Götze,Bundesliga,6,#19,3-Jun-92,Germany,Midfield - Attacking Midfield,13/14,Bayern Munich,31.50m,31500000,Munich,48.135125,11.581981
Sergio Busquets,La Liga,11,#5,16-Jul-88,Spain,Midfield - Defensive Midfield,15/16,FC Barcelona,31.50m,31500000,Barcelona,41.385064,2.173403
Kevin De Bruyne,Premier League,3,#17,28-Jun-91,Belgium,Midfield - Attacking Midfield,15/16,Manchester City,31.50m,31500000,Manchester,53.480759,53.480759
Marco Reus,Bundesliga,4,#11,31-May-89,Germany,Midfield - Left Wing,15/16,Borussia Dortmund,31.50m,31500000,Dortmund,51.513587,7.465298
Falcao,Premier League,13,#9,10-Feb-86,Colombia,Striker - Centre Forward,14/15,Monaco,31.50m,31500000,Monaco,43.738418,7.424616
